ce_px,close_cost,date,entry_date,exit_date,mtm_total,mtm_unit,note,pe_px,wce_px,wpe_px
136.6,,2023-05-19,2023-05-15,2023-05-30,,,missing leg close,20.4,,9.2
0.55,,2023-05-26,2023-05-15,2023-05-30,,,missing leg close,3.3,,1.85
0.05,,2023-05-30,2023-05-15,2023-05-30,,,missing leg close,0.05,,0.05
182.45,85.4,2023-06-09,2023-06-05,2023-06-15,-1016.0,-5.08,,114.1,143.6,67.55
182.45,262.4,2023-06-15,2023-06-05,2023-06-15,-36416.0,-182.08,,114.1,25.0,9.15
141.8,247.0,2023-07-14,2023-07-10,2023-07-25,-25356.0,-126.78,,202.75,90.9,6.65
20.5,17.25,2023-07-21,2023-07-10,2023-07-25,20594.0,102.97,,1.25,3.25,1.25
0.1,0.0,2023-07-25,2023-07-10,2023-07-25,24044.0,120.22,,0.1,0.1,0.1
1.15,0.95,2023-08-25,2023-08-21,2023-08-29,136612.0,683.06,,1.35,0.8,0.75
0.1,0.05,2023-08-29,2023-08-21,2023-08-29,136792.0,683.96,,0.05,0.05,0.05
133.95,-163.8,2023-09-08,2023-09-04,2023-09-26,134960.0,674.8,,100.0,113.75,284.0
116.45,80.15,2023-09-15,2023-09-04,2023-09-26,86170.0,430.85,,4.8,36.0,5.1
1.75,1.0,2023-09-22,2023-09-04,2023-09-26,102000.0,510.0,,1.4,1.35,0.8
0.05,0.0,2023-09-26,2023-09-04,2023-09-26,102200.0,511.0,,0.05,0.05,0.05
57.75,172.9,2023-10-10,2023-10-09,2023-10-10,-24514.0,-122.57,,169.45,35.3,19.0
8.0,7.1,2023-11-17,2023-11-13,2023-11-28,21410.0,107.05,,8.05,4.25,4.7
0.45,0.25,2023-11-24,2023-11-13,2023-11-28,22780.0,113.9,,0.45,0.35,0.3
0.05,-0.05,2023-11-28,2023-11-13,2023-11-28,22840.0,114.2,,0.05,0.05,0.1
103.6,598.4,2023-12-07,2023-12-04,2023-12-07,-84396.0,-421.98,,526.95,22.35,9.8
0.05,0.0,2024-01-30,2024-01-29,2024-01-30,106.0,0.53,,0.05,0.05,0.05
153.4,176.15,2024-02-09,2024-02-05,2024-02-27,-2098.0,-10.49,,459.1,83.8,352.55
20.65,108.85,2024-02-16,2024-02-05,2024-02-27,11362.0,56.81,,459.1,18.35,352.55
8.6,7.35,2024-02-23,2024-02-05,2024-02-27,31662.0,158.31,,1.05,1.8,0.5
0.05,-0.05,2024-02-27,2024-02-05,2024-02-27,33142.0,165.71,,0.05,0.05,0.1
89.3,93.25,2024-03-08,2024-03-04,2024-03-26,-1032.0,-5.16,,215.25,52.55,158.75
8.8,-117.25,2024-03-15,2024-03-04,2024-03-26,41068.0,205.34,,36.8,4.1,158.75
0.35,0.5,2024-03-22,2024-03-04,2024-03-26,17518.0,87.59,,1.25,0.35,0.75
0.1,0.05,2024-03-26,2024-03-04,2024-03-26,17608.0,88.04,,0.05,0.05,0.05
76.0,171.75,2024-04-12,2024-04-08,2024-04-30,-1594.0,-7.97,,408.4,30.5,282.15
5.85,53.65,2024-04-19,2024-04-08,2024-04-30,22026.0,110.13,,116.6,4.15,64.65
1.1,4.8,2024-04-26,2024-04-08,2024-04-30,31796.0,158.98,,6.35,0.75,1.9
0.1,0.05,2024-04-30,2024-04-08,2024-04-30,32746.0,163.73,,0.1,0.1,0.05
15.0,-122.05,2024-05-10,2024-05-06,2024-05-28,40516.0,202.58,,76.2,172.35,40.9
10.15,-113.9,2024-05-17,2024-05-06,2024-05-28,38886.0,194.43,,76.2,172.35,27.9
2.85,2.4,2024-05-24,2024-05-06,2024-05-28,15626.0,78.13,,2.85,1.45,1.85
0.05,0.0,2024-05-28,2024-05-06,2024-05-28,16106.0,80.53,,0.05,0.05,0.05
117.0,160.65,2024-06-14,2024-06-10,2024-06-25,-7482.0,-37.41,,124.2,9.15,71.4
77.75,62.2,2024-06-21,2024-06-10,2024-06-25,12208.0,61.04,,0.65,15.75,0.45
455.85,308.6,2024-06-25,2024-06-10,2024-06-25,-37072.0,-185.36,,0.1,147.25,0.1
128.95,201.55,2024-07-05,2024-07-01,2024-07-30,29260.0,146.3,,1027.5,98.25,856.65
100.0,172.6,2024-07-12,2024-07-01,2024-07-30,35050.0,175.25,,1027.5,98.25,856.65
48.45,-829.0,2024-07-19,2024-07-01,2024-07-30,235370.0,1176.85,,77.45,98.25,856.65
0.8,4.35,2024-07-26,2024-07-01,2024-07-30,68700.0,343.5,,7.5,0.65,3.3
0.1,0.05,2024-07-30,2024-07-01,2024-07-30,69560.0,347.8,,0.1,0.1,0.05
337.95,-251.15,2024-08-16,2024-08-12,2024-08-27,90694.0,453.47,,160.35,244.65,504.8
2.5,2.0,2024-08-23,2024-08-12,2024-08-27,40064.0,200.32,,1.3,1.0,0.8
0.1,0.0,2024-08-27,2024-08-12,2024-08-27,40464.0,202.32,,0.1,0.1,0.1
696.75,775.4,2024-09-06,2024-09-02,2024-09-24,-17204.0,-86.02,,524.9,16.35,429.9
696.75,783.15,2024-09-13,2024-09-02,2024-09-24,-18754.0,-93.77,,524.9,8.6,429.9
101.15,82.05,2024-09-20,2024-09-02,2024-09-24,121466.0,607.33,,2.7,19.9,1.9
176.25,175.65,2024-09-24,2024-09-02,2024-09-24,102746.0,513.73,,0.05,0.6,0.05
452.45,113.8,2024-10-04,2024-09-30,2024-10-29,5921.5,18.22,,200.0,346.65,192.0
452.45,127.65,2024-10-11,2024-09-30,2024-10-29,1420.25,4.37,,186.85,346.65,165.0
452.45,126.5,2024-10-18,2024-09-30,2024-10-29,1794.0,5.52,,65.7,346.65,45.0
1.0,-311.25,2024-10-25,2024-09-30,2024-10-29,144062.75,443.27,,52.45,346.65,18.05
0.1,0.0,2024-10-29,2024-09-30,2024-10-29,42906.5,132.02,,0.1,0.1,0.1
723.8,295.6,2024-11-08,2024-11-04,2024-11-26,-4394.0,-13.52,,99.95,172.2,355.95
30.1,-295.65,2024-11-15,2024-11-04,2024-11-26,187762.25,577.73,,99.95,69.75,355.95
1.65,5.65,2024-11-22,2024-11-04,2024-11-26,89839.75,276.43,,9.6,0.95,4.65
0.1,-0.05,2024-11-26,2024-11-04,2024-11-26,91692.25,282.13,,0.05,0.1,0.1
268.4,119.35,2024-12-06,2024-12-02,2024-12-31,-13461.5,-41.42,,45.45,162.5,32.0
241.45,111.25,2024-12-13,2024-12-02,2024-12-31,-10829.0,-33.32,,14.0,134.85,9.35
21.2,52.15,2024-12-20,2024-12-02,2024-12-31,8378.5,25.78,,86.35,14.55,40.85
0.7,1.45,2024-12-27,2024-12-02,2024-12-31,24856.0,76.48,,3.0,0.55,1.7
0.05,0.0,2024-12-31,2024-12-02,2024-12-31,25327.25,77.93,,0.1,0.1,0.05
31.15,94.05,2025-01-10,2025-01-06,2025-01-28,-477.75,-1.47,,211.1,18.45,129.75
15.5,85.35,2025-01-17,2025-01-06,2025-01-28,2349.75,7.23,,183.45,10.0,103.6
1.95,86.45,2025-01-24,2025-01-06,2025-01-28,1992.25,6.13,,143.2,1.9,56.8
0.8,27.35,2025-01-28,2025-01-06,2025-01-28,21199.75,65.23,,37.35,0.75,10.05
,,2025-02-07,2025-02-03,2025-02-25,,,missing leg close,31.2,,18.3
,,2025-02-14,2025-02-03,2025-02-25,,,missing leg close,33.65,,15.75
,,2025-02-21,2025-02-03,2025-02-25,,,missing leg close,4.4,,1.6
,,2025-02-25,2025-02-03,2025-02-25,,,missing leg close,1.75,,1.45
34.35,,2025-03-14,2025-03-10,2025-03-19,,,missing leg close,,12.25,
309.05,,2025-03-19,2025-03-10,2025-03-19,,,missing leg close,,138.55,
270.0,113.65,2025-04-11,2025-04-07,2025-04-17,-6399.25,-19.69,,22.05,166.75,11.65
1239.4,312.15,2025-04-17,2025-04-07,2025-04-17,-70911.75,-218.19,,7.55,928.3,6.5
41.4,98.15,2025-05-09,2025-05-05,2025-05-29,-4923.75,-15.15,,324.45,25.85,241.85
82.9,46.4,2025-05-16,2025-05-05,2025-05-29,11895.0,36.6,,30.65,45.35,21.8
39.85,26.7,2025-05-23,2025-05-05,2025-05-29,18297.5,56.3,,11.5,17.2,7.45
0.15,0.05,2025-05-29,2025-05-05,2025-05-29,26958.75,82.95,,0.25,0.15,0.2
172.4,80.85,2025-06-06,2025-06-02,2025-06-26,2957.5,9.1,,46.6,104.25,33.9
33.0,39.6,2025-06-13,2025-06-02,2025-06-26,16363.75,50.35,,67.15,19.4,41.15
11.15,10.3,2025-06-20,2025-06-02,2025-06-26,25886.25,79.65,,15.4,5.15,11.1
0.2,0.05,2025-06-26,2025-06-02,2025-06-26,29217.5,89.9,,0.25,0.3,0.1
342.25,1031.95,2025-07-04,2025-06-30,2025-07-31,-78370.5,-241.14,,787.4,30.25,67.45
342.25,1072.45,2025-07-11,2025-06-30,2025-07-31,-91533.0,-281.64,,787.4,18.6,38.6
342.25,1079.4,2025-07-18,2025-06-30,2025-07-31,-93791.75,-288.59,,787.4,7.3,42.95
342.25,347.55,2025-07-25,2025-06-30,2025-07-31,144059.5,443.26,,15.0,2.55,7.15
0.15,0.1,2025-07-31,2025-06-30,2025-07-31,256980.75,790.71,,0.2,0.1,0.15
15.35,431.9,2025-08-08,2025-08-04,2025-08-28,3285.75,10.11,,462.15,11.35,34.25
15.95,452.8,2025-08-15,2025-08-04,2025-08-28,-3506.75,-10.79,,462.15,8.1,17.2
2.75,3.4,2025-08-22,2025-08-04,2025-08-28,142548.25,438.61,,5.65,1.85,3.15
0.25,-0.05,2025-08-28,2025-08-04,2025-08-28,143669.5,442.06,,0.15,0.3,0.15
2.5,5.2,2025-09-26,2025-09-22,2025-09-30,-516.75,-1.59,,8.4,2.0,3.7
0.25,0.15,2025-09-30,2025-09-22,2025-09-30,1124.5,3.46,,0.2,0.2,0.1
34.8,111.3,2025-10-10,2025-10-06,2025-10-16,-3123.25,-9.61,,302.6,18.3,207.8
87.65,325.8,2025-10-16,2025-10-06,2025-10-16,-72835.75,-224.11,,302.6,42.0,22.45
34.45,36.85,2025-11-07,2025-11-03,2025-11-25,316680.0,974.4,,47.1,17.9,26.8
25.1,18.7,2025-11-14,2025-11-03,2025-11-25,322578.75,992.55,,18.85,13.3,11.95
4.4,2.35,2025-11-21,2025-11-03,2025-11-25,327892.5,1008.9,,3.15,2.65,2.55
0.05,-0.1,2025-11-25,2025-11-03,2025-11-25,328688.75,1011.35,,0.1,0.1,0.15
7.1,7.5,2025-12-19,2025-12-15,2025-12-30,646.75,1.99,,15.2,4.9,9.9
1.3,0.85,2025-12-26,2025-12-15,2025-12-30,2808.0,8.64,,2.4,1.2,1.65
0.1,0.05,2025-12-30,2025-12-15,2025-12-30,3068.0,9.44,,0.15,0.1,0.1
305.15,148.75,2026-02-06,2026-02-02,2026-02-13,-11112.0,-37.04,,23.6,171.45,8.55
599.9,364.2,2026-02-13,2026-02-02,2026-02-13,-75747.0,-252.49,,10.4,238.3,7.8
19.7,91.05,2026-04-17,2026-04-15,2026-04-28,647589.0,2158.63,,334.95,11.6,252.0
19.7,133.5,2026-04-24,2026-04-15,2026-04-28,634854.0,2116.18,,312.0,11.6,186.6
19.7,330.3,2026-04-28,2026-04-15,2026-04-28,575814.0,1919.38,,509.0,11.6,186.8
166.4,96.2,2026-05-08,2026-05-04,2026-05-26,15792.0,52.64,,96.9,101.5,65.6
36.8,37.8,2026-05-15,2026-05-04,2026-05-26,33312.0,111.04,,138.85,20.35,117.5
8.9,51.2,2026-05-22,2026-05-04,2026-05-26,29292.0,97.64,,102.85,5.0,55.55
8.9,51.2,2026-05-26,2026-05-04,2026-05-26,29292.0,97.64,,102.85,5.0,55.55
