symbol,close,mcap_cr,weight
ACC,2254.5,19051.0,0.18
AUBANK,1164.25,25518.0,0.25
AARTIIND,929.85,18539.0,0.18
ADANIENT,1468.1,40366.0,0.39
ADANIGREEN,1146.6,46626.0,0.45
ADANIPORTS,737.9,54238.0,0.53
ATGL,1423.15,39130.0,0.38
ADANITRANS,1558.5,42851.0,0.42
ABCAPITAL,112.75,7900.0,0.08
ABFRL,246.35,8313.0,0.08
AJANTPHARM,2278.1,5914.0,0.06
APLLTD,789.1,4808.0,0.05
ALKEM,3980.75,18562.0,0.18
AMARAJABAT,749.8,7428.0,0.07
AMBUJACEM,400.2,29402.0,0.29
APOLLOHOSP,4481.6,45107.0,0.44
APOLLOTYRE,225.7,7454.0,0.07
ASHOKLEY,133.8,19246.0,0.19
ASIANPAINT,3244.65,146276.0,1.42
ASTRAL,2160.4,19099.0,0.19
AUROPHARMA,724.8,20385.0,0.2
DMART,4250.2,63323.0,0.61
AXISBANK,766.55,197440.0,1.92
BAJAJ-AUTO,3832.65,49907.0,0.48
BAJFINANCE,7668.1,203651.0,1.98
BAJAJFINSV,17786.75,107560.0,1.04
BAJAJHLDNG,4808.6,24082.0,0.23
BALKRISIND,2533.65,20572.0,0.2
BANDHANBNK,283.0,19145.0,0.19
BANKBARODA,81.75,15219.0,0.15
BANKINDIA,55.5,4327.0,0.04
BATAINDIA,1778.15,10741.0,0.1
BERGEPAINT,809.0,19644.0,0.19
BEL,202.95,24231.0,0.24
BHARATFORG,737.45,18884.0,0.18
BHEL,64.65,8329.0,0.08
BPCL,432.2,41252.0,0.4
BHARTIARTL,688.3,162547.0,1.58
BIOCON,362.7,16547.0,0.16
BOSCHLTD,15474.5,13236.0,0.13
BRITANNIA,3948.95,46608.0,0.45
CADILAHC,551.85,14124.0,0.14
CANBK,173.0,11612.0,0.11
CASTROLIND,140.2,6795.0,0.07
CHOLAFIN,564.25,22226.0,0.22
CIPLA,983.55,49983.0,0.49
CUB,157.65,11298.0,0.11
COALINDIA,185.1,38785.0,0.38
COFORGE,5241.3,13658.0,0.13
COLPAL,1669.5,22250.0,0.22
CONCOR,704.3,19311.0,0.19
COROMANDEL,794.45,9558.0,0.09
CROMPTON,478.9,28271.0,0.27
CUMMINSIND,991.95,13473.0,0.13
DLF,417.2,25818.0,0.25
DABUR,617.05,35998.0,0.35
DALBHARAT,2105.75,17337.0,0.17
DEEPAKNTR,2406.55,17725.0,0.17
DHANI,183.3,4638.0,0.05
DIVISLAB,4798.7,61147.0,0.59
DIXON,4611.9,16500.0,0.16
LALPATHLAB,3676.8,11951.0,0.12
DRREDDY,4880.7,59286.0,0.58
EICHERMOT,2790.2,38905.0,0.38
EMAMILTD,574.0,11737.0,0.11
ENDURANCE,1584.45,5572.0,0.05
ESCORTS,1480.1,10378.0,0.1
EXIDEIND,178.25,8182.0,0.08
FEDERALBNK,84.3,16837.0,0.16
FORTIS,263.5,13726.0,0.13
GAIL,158.85,28920.0,0.28
GMRINFRA,38.35,9028.0,0.09
GLAND,3719.9,18328.0,0.18
GLENMARK,510.45,7634.0,0.07
GODREJCP,1029.9,38965.0,0.38
GODREJIND,579.15,3704.0,0.04
GODREJPROP,2311.9,26993.0,0.26
GRASIM,1669.45,63723.0,0.62
GUJGASLTD,637.45,10970.0,0.11
GSPL,316.0,8915.0,0.09
HCLTECH,1279.55,138891.0,1.35
HDFCAMC,2908.6,16120.0,0.16
HDFCBANK,1594.95,697725.0,6.77
HDFCLIFE,722.4,67229.0,0.65
HAVELLS,1373.1,34399.0,0.33
HEROMOTOCO,2832.5,36785.0,0.36
HINDALCO,487.95,71271.0,0.69
HAL,1354.45,11323.0,0.11
HINDCOPPER,109.95,2871.0,0.03
HINDPETRO,300.0,19150.0,0.19
HINDUNILVR,2701.8,241229.0,2.34
HINDZINC,311.6,7900.0,0.08
HDFC,2754.3,497111.0,4.83
ICICIBANK,700.85,485931.0,4.72
ICICIGI,1589.5,40542.0,0.39
ICICIPRULI,671.85,26063.0,0.25
ISEC,758.35,6116.0,0.06
IDFCFIRSTB,47.65,14798.0,0.14
ITC,236.15,206571.0,2.01
INDIAMART,8378.9,12805.0,0.12
INDIANB,140.35,3496.0,0.03
INDHOTEL,181.4,12705.0,0.12
IOC,125.3,31849.0,0.31
IRCTC,3798.5,20056.0,0.19
IRFC,22.85,4181.0,0.04
IGL,533.1,18659.0,0.18
INDUSTOWER,308.7,24958.0,0.24
INDUSINDBK,1111.9,67135.0,0.65
NAUKRI,6431.4,49696.0,0.48
INFY,1675.2,621048.0,6.03
INDIGO,2021.7,19466.0,0.19
IPCALAB,2411.35,16518.0,0.16
JSWENERGY,389.9,16019.0,0.16
JSWSTEEL,668.3,66233.0,0.64
JINDALSTEL,389.25,15883.0,0.15
JUBLFOOD,4040.9,30930.0,0.3
KOTAKBANK,2005.5,294295.0,2.86
L&TFH,90.95,7197.0,0.07
LTTS,4697.55,12846.0,0.12
LICHSGFIN,427.05,12920.0,0.13
LTI,5765.15,26257.0,0.25
LT,1702.95,205717.0,2.0
LAURUSLABS,616.45,24148.0,0.23
LUPIN,951.6,22899.0,0.22
MRF,79375.55,16496.0,0.16
MGL,1082.65,6203.0,0.06
M&MFIN,185.2,10983.0,0.11
M&M,803.05,76873.0,0.75
MANAPPURAM,169.15,9163.0,0.09
MARICO,547.5,28294.0,0.27
MARUTI,7338.05,97534.0,0.95
MFSL,1014.3,22053.0,0.21
MINDTREE,4200.1,26991.0,0.26
MPHASIS,3104.4,25584.0,0.25
MUTHOOTFIN,1450.3,15710.0,0.15
NATCOPHARM,891.55,8291.0,0.08
NMDC,143.0,16344.0,0.16
NTPC,141.85,67398.0,0.65
NATIONALUM,93.4,8406.0,0.08
NAVINFLUOR,3684.75,12768.0,0.12
NESTLEIND,19445.55,69370.0,0.67
NAM-INDIA,425.35,6861.0,0.07
OBEROIRLTY,964.2,11219.0,0.11
ONGC,144.5,52718.0,0.51
OIL,260.2,9311.0,0.09
PIIND,3178.35,25557.0,0.25
PAGEIND,31704.9,18389.0,0.18
PETRONET,238.55,17891.0,0.17
PFIZER,5581.1,8681.0,0.08
PIDILITIND,2381.95,36312.0,0.35
PEL,2595.8,31596.0,0.31
POLYCAB,2389.0,9980.0,0.1
PFC,142.1,16507.0,0.16
POWERGRID,189.9,64907.0,0.63
PRESTIGE,490.85,6887.0,0.07
PGHH,14073.8,13249.0,0.13
PNB,40.1,11922.0,0.12
RBLBANK,190.9,9496.0,0.09
RECLTD,157.85,14652.0,0.14
RELIANCE,2519.25,814503.0,7.91
SBICARD,1029.6,23257.0,0.23
SBILIFE,1215.1,53475.0,0.52
SRF,11279.1,32743.0,0.32
SANOFI,7799.8,7185.0,0.07
SHREECEM,28901.55,38583.0,0.37
SRTRANSFIN,1298.85,26183.0,0.25
SIEMENS,2129.4,18958.0,0.18
SBIN,453.0,173843.0,1.69
SAIL,113.65,16430.0,0.16
SUNPHARMA,818.25,88347.0,0.86
SUNTV,505.35,4979.0,0.05
SYNGENE,599.9,6973.0,0.07
TVSMOTOR,549.45,12269.0,0.12
TATACHEM,919.3,14520.0,0.14
TATACOMM,1391.75,16263.0,0.16
TCS,3775.55,391047.0,3.8
TATACONSUM,813.6,48735.0,0.47
TATAELXSI,5594.05,19161.0,0.19
TATAMOTORS,333.35,59769.0,0.58
TATAPOWER,158.75,26885.0,0.26
TATASTEEL,1288.9,100783.0,0.98
TECHM,1380.6,85682.0,0.83
RAMCOCEM,984.65,12548.0,0.12
TITAN,2161.85,90205.0,0.88
TORNTPHARM,3085.5,15142.0,0.15
TORNTPOWER,505.05,8496.0,0.08
TRENT,1025.85,22975.0,0.22
UPL,707.7,38931.0,0.38
ULTRACEMCO,7396.1,85398.0,0.83
UNIONBANK,36.25,4212.0,0.04
UBL,1571.5,11219.0,0.11
MCDOWELL-N,853.1,25416.0,0.25
VBL,897.6,13215.0,0.13
VEDL,287.65,37424.0,0.36
IDEA,11.9,9575.0,0.09
VOLTAS,1218.05,28212.0,0.27
WHIRLPOOL,2284.95,7247.0,0.07
WIPRO,634.1,93817.0,0.91
YESBANK,12.55,16036.0,0.16
ZEEL,303.2,27958.0,0.27