entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct
2023-05-17,2023-05-25,2023-05-25,43698.7,44400,43000,44900,42500,99.99,117.71,36.31,61.25,0.0,0.0,0.0,0.0,120.14,0.0,120.14,15,1,1802.1,379.862,5697.93,43110.6,21.56,EXPIRY,2023-05,2023,1802.1,201802.1,0.901,201802.1,0.0
2023-05-31,2023-06-29,2023-06-29,44128.1,44800,43500,45300,43000,355.56,326.11,208.34,213.64,0.0,0.0,0.0,0.0,259.69,0.0,259.69,15,1,3895.35,240.3095,3604.6425000000004,38703.3,19.35,EXPIRY,2023-05,2023,5697.45,205697.45,2.8487,205697.45,0.0
2023-07-05,2023-07-27,2023-07-27,45151.8,45800,44500,46300,44000,310.46,294.08,175.13,187.78,0.0,0.0,0.0,0.0,241.63,0.0,241.63,15,1,3624.45,258.3725,3875.5875,40609.35,20.3,EXPIRY,2023-07,2023,9321.9,209321.9,4.661,209321.9,0.0
2023-08-02,2023-08-31,2023-08-31,44995.7,45700,44300,46200,43800,352.04,298.63,211.04,193.49,0.0,310.9,0.0,0.0,246.15,315.56,-69.42,15,1,-1041.3,253.85450000000003,3807.8175000000006,39832.05,19.92,EXPIRY,2023-08,2023,8280.6,208280.6,4.1403,209321.9,-0.4975
2023-09-06,2023-09-28,2023-09-28,44409.1,45100,43700,45600,43200,273.19,166.52,136.63,102.56,0.0,0.0,0.0,0.0,200.52,0.0,200.52,15,1,3007.8,299.48150000000004,4492.222500000001,41700.15,20.85,EXPIRY,2023-09,2023,11288.400000000001,211288.4,5.6442,211288.4,0.0
2023-10-04,2023-10-26,2023-10-26,43964.1,44600,43300,45100,42800,352.98,217.7,200.02,133.42,0.0,1019.9,0.0,519.9,237.25,507.5,-270.25,15,1,-4053.75,262.75249999999994,3941.287499999999,39827.4,19.91,EXPIRY,2023-10,2023,7234.6500000000015,207234.65,3.6173,211288.4,-1.9186
2023-11-01,2023-11-30,2023-11-30,42700.9,43300,42100,43800,41600,416.79,297.2,248.88,198.13,1181.8,0.0,681.8,0.0,266.97,507.5,-240.53,15,1,-3607.95,233.02699999999993,3495.404999999999,36848.85,18.42,EXPIRY,2023-11,2023,3626.7000000000016,203626.7,1.8134,211288.4,-3.6262
2023-12-06,2023-12-28,2023-12-28,46834.6,47500,46100,48000,45600,367.64,277.94,237.97,175.75,1008.6,0.0,508.6,0.0,231.87,507.5,-275.63,15,1,-4134.45,268.13300000000004,4021.995000000001,41530.2,20.77,EXPIRY,2023-12,2023,-507.7499999999982,199492.25,-0.2539,211288.4,-5.583
2024-01-03,2024-01-25,2024-01-25,47704.9,48400,47000,48900,46500,450.25,338.13,272.8,234.75,0.0,2133.9,0.0,1633.9,280.83,507.5,-226.67,15,1,-3400.0499999999997,219.16549999999995,3287.482499999999,41040.75,20.52,EXPIRY,2024-01,2024,-3907.799999999998,196092.2,-1.9539,211288.4,-7.1922
2024-01-31,2024-02-29,2024-02-29,45996.8,46700,45300,47200,44800,744.93,527.27,549.83,410.6,0.0,0.0,0.0,0.0,311.77,0.0,311.77,15,1,4676.549999999999,188.23249999999985,2823.4874999999975,32513.55,16.26,EXPIRY,2024-01,2024,768.7500000000014,200768.75,0.3844,211288.4,-4.9788
2024-03-06,2024-03-28,2024-03-28,47965.4,48700,47200,49200,46700,472.23,392.49,305.08,280.91,0.0,75.4,0.0,0.0,278.73,76.53,202.19,15,1,3032.85,221.2745,3319.1175,40119.15,20.06,EXPIRY,2024-03,2024,3801.6000000000013,203801.6,1.9008,211288.4,-3.5434
2024-05-08,2024-05-29,2024-05-29,48021.1,48700,47300,49200,46800,477.53,385.85,316.45,274.18,0.0,0.0,0.0,0.0,272.75,0.0,272.75,15,1,4091.25,227.25200000000007,3408.780000000001,40100.55,20.05,EXPIRY,2024-05,2024,7892.850000000001,207892.85,3.9464,211288.4,-1.6071
2024-06-05,2024-06-26,2024-06-26,49054.6,49800,48300,50300,47800,650.73,591.82,490.62,461.14,3070.5,0.0,2570.5,0.0,290.79,507.5,-216.71,15,1,-3250.65,209.21300000000008,3138.195000000001,35754.6,17.88,EXPIRY,2024-06,2024,4642.200000000001,204642.2,2.3211,211288.4,-3.1456
2024-07-10,2024-07-31,2024-07-31,52189.3,53000,51400,53500,50900,525.39,452.68,371.28,322.57,0.0,0.0,0.0,0.0,284.22,0.0,284.22,15,1,4263.3,215.78449999999998,3236.7675,42836.25,21.42,EXPIRY,2024-07,2024,8905.5,208905.5,4.4528,211288.4,-1.1278
2024-07-31,2024-08-28,2024-08-28,51553.4,52300,50800,52800,50300,587.71,457.97,411.31,348.58,0.0,0.0,0.0,0.0,285.79,0.0,285.79,15,1,4286.85,214.21249999999998,3213.1874999999995,41182.65,20.59,EXPIRY,2024-07,2024,13192.35,213192.35,6.5962,213192.35,0.0
2024-08-28,2024-09-25,2024-09-25,51143.8,51900,50400,52400,49900,530.05,394.27,352.51,287.59,2201.65,0.0,1701.65,0.0,284.21,507.5,-223.29,15,1,-3349.35,215.78750000000014,3236.812500000002,42571.5,21.29,EXPIRY,2024-08,2024,9843.0,209843.0,4.9215,213192.35,-1.571
2024-10-09,2024-10-30,2024-10-30,51007.0,51800,50200,52300,49700,538.31,343.98,357.97,253.93,7.5,0.0,0.0,0.0,270.39,7.61,262.78,30,1,7883.4,229.61,6888.3,85683.0,42.84,EXPIRY,2024-10,2024,17726.4,217726.4,8.8632,217726.4,0.0
2024-10-30,2024-11-27,2024-11-27,51807.5,52600,51000,53100,50500,738.04,486.24,527.7,389.44,0.0,0.0,0.0,0.0,307.15,0.0,307.15,30,1,9214.5,192.84950000000003,5785.485000000001,78157.8,39.08,EXPIRY,2024-10,2024,26940.9,226940.9,13.4704,226940.9,0.0
2025-01-01,2025-01-29,2025-01-29,51060.6,51800,50300,52300,49800,720.03,468.91,533.21,350.73,0.0,1134.05,0.0,634.05,305.01,507.5,-202.49,30,1,-6074.700000000001,194.9915000000001,5849.745000000003,77623.8,38.81,EXPIRY,2025-01,2025,20866.2,220866.2,10.4331,226940.9,-2.6768
2025-02-05,2025-02-26,2025-02-26,50343.1,51100,49600,51600,49100,526.68,441.09,363.94,321.71,0.0,0.0,0.0,0.0,282.13,0.0,282.13,30,1,8463.9,217.86950000000002,6536.085000000001,82144.5,41.07,EXPIRY,2025-02,2025,29330.1,229330.1,14.665,229330.1,0.0
2025-03-05,2025-03-26,2025-03-26,48489.9,49200,47800,49700,47300,484.01,408.57,318.39,311.41,2009.0,0.0,1509.0,0.0,262.78,507.5,-244.71,30,1,-7341.3,237.21500000000003,7116.450000000001,80046.0,40.02,EXPIRY,2025-03,2025,21988.8,221988.8,10.9944,229330.1,-3.2012
2025-04-02,2025-04-24,2025-04-24,51348.1,52100,50600,52600,50100,482.38,372.49,322.12,267.24,3101.4,0.0,2601.4,0.0,265.51,507.5,-241.99,30,1,-7259.700000000001,234.49099999999999,7034.73,87073.2,43.54,EXPIRY,2025-04,2025,14729.099999999999,214729.1,7.3645,229330.1,-6.3668
2025-04-30,2025-05-29,2025-05-29,55087.2,55900,54300,56400,53800,807.15,738.59,634.13,609.55,0.0,0.0,0.0,0.0,302.05,0.0,302.05,30,1,9061.5,197.94950000000017,5938.485000000005,75093.6,37.55,EXPIRY,2025-04,2025,23790.6,223790.6,11.8953,229330.1,-2.4155
2025-06-04,2025-06-25,2025-06-25,55676.8,56500,54800,57000,54300,444.76,643.7,458.24,256.48,121.15,0.0,0.0,0.0,373.74,122.97,250.77,30,1,7523.1,126.25849999999991,3787.7549999999974,92084.4,46.04,EXPIRY,2025-06,2025,31313.699999999997,231313.7,15.6568,231313.7,0.0
2025-06-25,2025-06-26,2025-06-26,56621.2,57500,55800,58000,55300,11.14,23.56,4.49,12.19,0.0,0.0,0.0,0.0,18.02,0.0,18.02,30,1,540.6,481.9775,14459.325,115065.6,57.53,EXPIRY,2025-06,2025,31854.299999999996,231854.3,15.9271,231854.3,0.0
2025-07-02,2025-07-31,2025-07-31,56999.2,57900,56100,58400,55600,554.15,377.19,397.65,275.25,0.0,138.05,0.0,0.0,258.45,140.12,118.33,30,1,3549.9,241.55150000000003,7246.545000000001,96093.0,48.05,EXPIRY,2025-07,2025,35404.2,235404.2,17.7021,235404.2,0.0
2025-08-06,2025-08-28,2025-08-28,55411.2,56200,54600,56700,54100,344.57,271.31,205.07,182.12,0.0,779.65,0.0,279.65,228.69,507.5,-278.81,30,1,-8364.3,271.313,8139.389999999999,101400.3,50.7,EXPIRY,2025-08,2025,27039.899999999998,227039.9,13.52,235404.2,-3.5532
2025-09-03,2025-09-24,2025-09-24,54067.6,54900,53300,55400,52800,218.69,476.54,225.32,140.1,221.5,0.0,0.0,0.0,329.81,224.82,104.99,30,1,3149.7,170.18749999999994,5105.624999999998,99401.4,49.7,EXPIRY,2025-09,2025,30189.6,230189.6,15.0948,235404.2,-2.2152
2025-09-24,2025-09-25,2025-09-25,55121.5,55900,54300,56400,53800,72.12,44.45,29.53,22.49,0.0,0.0,0.0,0.0,64.55,0.0,64.55,30,1,1936.5,435.4475,13063.425,110843.4,55.42,EXPIRY,2025-09,2025,32126.1,232126.1,16.063,235404.2,-1.3925
2025-10-01,2025-10-28,2025-10-28,55347.9,56200,54500,56700,54000,378.53,262.94,225.32,180.95,2014.1,0.0,1514.1,0.0,235.2,507.5,-272.3,30,1,-8169.0,264.7955,7943.865,100725.9,50.36,EXPIRY,2025-10,2025,23957.1,223957.1,11.9785,235404.2,-4.8627
2025-10-29,2025-11-25,2025-11-25,58385.2,59300,57500,59800,57000,476.14,302.4,324.92,219.4,0.0,0.0,0.0,0.0,234.21,0.0,234.21,30,1,7026.3,265.78700000000003,7973.610000000001,102806.4,51.4,EXPIRY,2025-10,2025,30983.399999999998,230983.4,15.4917,235404.2,-1.878
2025-11-26,2025-12-30,2025-12-30,59528.1,60400,58600,60900,58100,508.61,352.69,347.97,256.58,0.0,0.0,0.0,0.0,256.75,0.0,256.75,30,1,7702.5,243.25400000000002,7297.620000000001,103243.5,51.62,EXPIRY,2025-11,2025,38685.899999999994,238685.9,19.3429,238685.9,0.0
2025-12-31,2026-01-27,2026-01-27,59581.8,60500,58700,61000,58200,341.45,236.86,205.38,156.47,0.0,0.0,0.0,0.0,216.46,0.0,216.46,30,1,6493.8,283.53650000000005,8506.095000000001,110728.5,55.36,EXPIRY,2025-12,2025,45179.7,245179.7,22.5898,245179.7,0.0
2026-01-28,2026-02-24,2026-02-24,59598.8,60500,58700,61000,58200,570.19,464.16,404.99,359.96,547.3,0.0,47.3,0.0,269.4,507.5,-238.1,30,1,-7143.0,230.59699999999998,6917.91,98635.5,49.32,EXPIRY,2026-01,2026,38036.7,238036.7,19.0183,245179.7,-2.9134
2026-04-01,2026-04-28,2026-04-28,51448.7,52200,50700,52700,50200,1390.45,1167.9,1190.8,1037.44,3200.35,0.0,2700.35,0.0,330.12,507.5,-177.38,30,1,-5321.4,169.8829999999998,5096.489999999994,38110.8,19.06,EXPIRY,2026-04,2026,32715.299999999996,232715.3,16.3576,245179.7,-5.0838
2026-04-29,2026-05-26,2026-05-26,55403.6,56200,54600,56700,54100,861.45,733.34,666.26,603.79,0.0,0.0,0.0,0.0,324.74,0.0,324.74,30,1,9742.2,175.26200000000017,5257.860000000005,74914.5,37.46,EXPIRY,2026-04,2026,42457.5,242457.5,21.2287,245179.7,-1.1103
