entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,running_pnl,equity,roi_pct
2023-05-15,2023-05-30,2023-05-30,19583.2,20350,18800,20650,18500,135.23,1107.17,193.47,22.27,0.0,0.0,0.0,0.0,1026.66,0.0,1026.66,40,5,205332.9,-726.6644999999996,-145332.89999999994,EXPIRY,2023-05,2023,205332.9,405332.9,102.66645000000003
2023-06-05,2023-06-15,2023-06-27,19438.5,20200,18650,20500,18350,180.63,112.96,145.04,68.23,182.45,114.1,25.0,9.15,80.32,265.02,-184.7,40,5,-36940.2,219.67700000000002,43935.40000000001,SL,2023-06,2023,168392.7,368392.7,84.19635000000001
2023-07-10,2023-07-25,2023-07-25,20057.3,20850,19250,21150,18950,140.38,200.72,91.81,129.08,0.0,0.0,0.0,0.0,120.22,0.0,120.22,40,5,24043.5,179.78249999999997,35956.5,EXPIRY,2023-07,2023,192436.2,392436.2,96.21809999999999
2023-08-21,2023-08-29,2023-08-29,19571.5,20350,18800,20650,18500,684.19,6.48,3.54,3.13,0.0,0.0,0.0,0.0,684.01,0.0,684.01,40,5,136801.5,-384.00749999999994,-76801.49999999999,EXPIRY,2023-08,2023,329237.7,529237.7,164.61884999999995
2023-09-04,2023-09-26,2023-09-26,19787.6,20600,19000,20900,18700,815.46,97.27,114.89,286.84,0.0,0.0,0.0,0.0,511.0,0.0,511.0,40,5,102200.6,-211.00300000000016,-42200.600000000035,EXPIRY,2023-09,2023,431438.30000000005,631438.3,215.71915
2023-10-09,2023-10-10,2023-10-31,19594.7,20400,18800,20700,18500,77.96,167.76,176.55,18.84,57.75,169.45,35.3,19.0,50.33,174.63,-124.3,40,5,-24859.1,249.6665,49933.3,SL,2023-10,2023,406579.20000000007,606579.2000000001,203.28960000000004
2023-11-13,2023-11-28,2023-11-28,19542.2,20300,18750,20600,18450,62.91,173.7,18.79,103.68,0.0,0.0,0.0,0.0,114.15,0.0,114.15,40,5,22829.5,185.85250000000002,37170.5,EXPIRY,2023-11,2023,429408.70000000007,629408.7000000001,214.70435000000006
2023-12-04,2023-12-07,2023-12-26,20862.9,21700,20050,22000,19750,12.03,521.68,195.79,161.5,103.6,526.95,22.35,9.8,176.42,604.38,-427.96,40,5,-85592.5,123.57849999999996,24715.699999999993,SL,2023-12,2023,343816.20000000007,543816.2000000001,171.90810000000005
2024-01-29,2024-01-30,2024-01-30,20413.3,21250,19600,21550,19300,0.59,0.89,0.4,0.56,0.0,0.0,0.0,0.0,0.53,0.0,0.53,40,5,105.1,299.4745,59894.899999999994,EXPIRY,2024-01,2024,343921.30000000005,543921.3,171.96065000000002
2024-02-05,2024-02-27,2024-02-27,20315.8,21150,19500,21450,19200,151.87,454.51,84.64,356.08,0.0,0.0,0.0,0.0,165.66,0.0,165.66,40,5,33132.3,134.3385,26867.700000000004,EXPIRY,2024-02,2024,377053.60000000003,577053.6000000001,188.52680000000004
2024-03-04,2024-03-26,2024-03-26,20927.2,21750,20100,22050,19800,88.41,213.1,53.08,160.34,0.0,0.0,0.0,0.0,88.09,0.0,88.09,40,5,17618.3,211.9085,42381.7,EXPIRY,2024-03,2024,394671.9,594671.9,197.33595
2024-04-08,2024-04-30,2024-04-30,21604.5,22450,20750,22750,20450,75.24,404.32,30.8,284.97,0.0,0.0,0.0,0.0,163.78,0.0,163.78,40,5,32755.9,136.22050000000002,27244.100000000002,EXPIRY,2024-04,2024,427427.80000000005,627427.8,213.71390000000002
2024-05-06,2024-05-28,2024-05-28,21743.7,22600,20850,22900,20550,220.47,75.44,174.07,41.31,0.0,0.0,0.0,0.0,80.53,0.0,80.53,40,5,16105.7,219.4715,43894.3,EXPIRY,2024-05,2024,443533.50000000006,643533.5,221.76675
2024-06-10,2024-06-25,2024-06-25,22154.8,23050,21250,23350,20950,115.83,122.96,43.43,72.11,460.65,0.0,160.65,0.0,123.24,303.0,-179.76,40,5,-35951.2,176.756,35351.2,EXPIRY,2024-06,2024,407582.30000000005,607582.3,203.79115000000004
2024-07-01,2024-07-30,2024-07-30,23631.0,24600,22700,24900,22400,295.07,1017.23,99.23,865.22,0.0,0.0,0.0,0.0,347.85,0.0,347.85,40,5,69569.1,-47.845500000000015,-9569.100000000002,EXPIRY,2024-07,2024,477151.4,677151.4,238.57569999999998
2024-08-12,2024-08-27,2024-08-27,23028.5,23950,22100,24250,21800,334.57,624.69,247.1,509.85,0.0,0.0,0.0,0.0,202.32,0.0,202.32,40,5,40463.2,97.6840000000002,19536.80000000004,EXPIRY,2024-08,2024,517614.60000000003,717614.6000000001,258.80730000000005
2024-09-02,2024-09-24,2024-09-24,23727.5,24700,22800,25000,22500,689.78,519.65,85.85,434.2,183.65,0.0,0.0,0.0,689.38,185.49,503.9,40,5,100779.6,-389.3845000000001,-77876.90000000002,EXPIRY,2024-09,2024,618394.2000000001,818394.2000000001,309.1971
2024-09-30,2024-10-29,2024-10-29,24480.3,25450,23500,25750,23200,447.93,111.28,350.12,77.06,0.0,0.0,0.0,0.0,132.02,0.0,132.02,65,5,42907.15,167.97799999999995,54592.849999999984,EXPIRY,2024-09,2024,661301.3500000001,861301.3500000001,330.65067500000004
2024-11-04,2024-11-26,2024-11-26,23660.2,24600,22700,24900,22400,716.56,98.95,173.92,359.51,0.0,0.0,0.0,0.0,282.08,0.0,282.08,65,5,91676.32,17.919000000000096,5823.675000000031,EXPIRY,2024-11,2024,752977.6700000002,952977.6700000002,376.48883500000005
2024-12-02,2024-12-31,2024-12-31,24072.7,25050,23100,25350,22800,106.42,102.91,61.31,70.09,0.0,0.0,0.0,0.0,77.93,0.0,77.93,65,5,25328.71,222.06550000000001,72171.2875,EXPIRY,2024-12,2024,778306.3800000001,978306.3800000001,389.15319000000005
2025-01-06,2025-01-28,2025-01-28,23317.8,24250,22400,24550,22100,139.94,104.54,86.76,65.14,0.0,0.0,0.0,0.0,92.58,0.0,92.58,65,5,30087.36,207.4235,67412.63749999998,EXPIRY,2025-01,2025,808393.7400000001,1008393.7400000001,404.1968700000001
2025-02-03,2025-02-25,2025-02-25,23132.5,24050,22200,24350,21900,110.29,92.02,77.77,75.75,0.0,0.0,0.0,0.0,48.79,0.0,48.79,65,5,15855.61,251.21349999999998,81644.3875,EXPIRY,2025-02,2025,824249.3500000001,1024249.3500000001,412.124675
2025-03-10,2025-03-19,2025-03-25,23056.8,24000,22150,24300,21850,33.61,57.42,15.1,26.97,309.05,3.3,138.55,2.4,48.96,173.11,-124.15,65,5,-40348.75,251.036,81586.7,SL,2025-03,2025,783900.6000000001,983900.6000000001,391.9503000000001
2025-04-07,2025-04-17,2025-04-24,23908.5,24850,22950,25150,22650,179.04,21.83,95.14,11.77,1239.4,7.55,928.3,6.5,93.96,315.27,-221.31,65,5,-71925.43,206.03750000000002,66962.1875,SL,2025-04,2025,711975.1700000002,911975.1700000002,355.9875850000001
2025-05-05,2025-05-29,2025-05-29,26164.9,27200,25100,27500,24800,132.51,158.45,84.89,123.07,0.0,0.0,0.0,0.0,83.0,0.0,83.0,65,5,26975.65,216.998,70524.35,EXPIRY,2025-05,2025,738950.8200000002,938950.8200000002,369.47541000000007
2025-06-02,2025-06-26,2025-06-26,26448.4,27500,25400,27800,25100,156.57,122.81,105.04,84.39,0.0,0.0,0.0,0.0,89.95,0.0,89.95,65,5,29234.56,210.0475,68265.43750000001,EXPIRY,2025-06,2025,768185.3800000002,968185.3800000002,384.0926900000001
2025-06-30,2025-07-31,2025-07-31,27174.5,28250,26100,28550,25800,338.83,779.53,264.97,62.57,0.0,0.0,0.0,0.0,790.81,0.0,790.81,65,5,257013.41,-490.81049999999993,-159513.41249999998,EXPIRY,2025-06,2025,1025198.7900000003,1225198.7900000003,512.5993950000002
2025-08-04,2025-08-28,2025-08-28,26476.6,27550,25400,27850,25100,40.59,457.53,24.34,31.76,0.0,0.0,0.0,0.0,442.01,0.0,442.01,65,5,143654.22,-142.01299999999992,-46154.22499999998,EXPIRY,2025-08,2025,1168853.0100000002,1368853.0100000002,584.4265050000001
2025-09-22,2025-09-30,2025-09-30,26528.4,27600,25450,27900,25150,6.73,9.36,4.44,8.03,0.0,0.0,0.0,0.0,3.61,0.0,3.61,65,5,1174.55,296.386,96325.45,EXPIRY,2025-09,2025,1170027.5600000003,1370027.5600000003,585.0137800000001
2025-10-06,2025-10-16,2025-10-28,26712.0,27800,25650,28100,25350,26.14,299.57,14.14,209.88,87.65,302.6,42.0,22.45,101.69,329.06,-227.37,65,5,-73893.95,198.308,64450.1,SL,2025-10,2025,1096133.6100000003,1296133.6100000003,548.0668050000002
2025-11-03,2025-11-25,2025-11-25,27306.2,28400,26200,28700,25900,64.99,1025.49,39.09,40.15,0.0,0.0,0.0,0.0,1011.25,0.0,1011.25,65,5,328656.41,-711.2504999999999,-231156.41249999998,EXPIRY,2025-11,2025,1424790.0200000003,1624790.0200000003,712.3950100000002
2025-12-15,2025-12-30,2025-12-30,27603.2,28700,26500,29000,26200,15.0,17.82,10.35,12.98,0.0,0.0,0.0,0.0,9.49,0.0,9.49,65,5,3083.44,290.5125,94416.5625,EXPIRY,2025-12,2025,1427873.4600000002,1627873.4600000002,713.9367300000001
2026-02-02,2026-02-13,2026-02-24,26799.0,27850,25750,28150,25450,92.81,112.17,56.61,36.66,599.9,10.4,238.3,7.8,111.71,367.84,-256.14,60,5,-76840.8,188.29399999999998,56488.2,SL,2026-02,2026,1351032.6600000001,1551032.6600000001,675.51633
2026-04-15,2026-04-28,2026-04-28,27564.1,28650,26450,28950,26150,19.5,2764.97,11.72,523.08,0.0,512.5,0.0,212.5,2249.68,303.0,1946.68,60,5,584003.7,-1949.679,-584903.7000000001,EXPIRY,2026-04,2026,1935036.36,2135036.3600000003,967.5181800000003
2026-05-04,2026-05-26,2026-05-26,25814.4,26850,24800,27150,24500,175.72,228.44,122.41,132.92,0.0,0.0,0.0,0.0,148.84,0.0,148.84,60,5,44651.85,151.16049999999998,45348.149999999994,EXPIRY,2026-05,2026,1979688.2100000002,2179688.21,989.844105
