symbol,start_date,end_date
360ONE,2024-02-07,2099-12-31
3MINDIA,2010-01-01,2099-12-31
8KMILES,2019-02-01,2022-10-09
AADHARHFC,2024-09-30,2099-12-31
AARTIDRUGS,2022-10-09,2024-03-28
AARTIIND,2010-01-01,2022-10-09
AARTIIND,2023-03-31,2099-12-31
AAVAS,2022-10-09,2099-12-31
ABB,2010-01-01,2099-12-31
ABBOTINDIA,2022-10-09,2099-12-31
ABCAPITAL,2010-01-01,2099-12-31
ABDL,2026-05-02,2099-12-31
ABFRL,2010-01-01,2099-12-31
ABLBL,2025-09-30,2099-12-31
ABREL,2025-06-16,2099-12-31
ABSLAMC,2022-03-31,2024-02-07
ABSLAMC,2024-09-30,2099-12-31
ACC,2010-01-01,2099-12-31
ACE,2024-03-28,2099-12-31
ACI,2023-03-31,2099-12-31
ACMESOLAR,2025-06-16,2099-12-31
ACUTAAS,2026-05-02,2099-12-31
ADANIENSOL,2024-02-07,2099-12-31
ADANIENT,2022-10-09,2099-12-31
ADANIGREEN,2019-02-01,2099-12-31
ADANIPORTS,2010-01-01,2099-12-31
ADANIPOWER,2010-01-01,2022-10-09
ADANIPOWER,2023-03-31,2099-12-31
ADANITRANS,2019-02-01,2024-02-07
ADVENZYMES,2010-01-01,2022-10-09
AEGISCHEM,2010-01-01,2025-06-16
AEGISLOG,2025-06-16,2099-12-31
AEGISVOPAK,2025-09-30,2099-12-31
AETHER,2022-10-09,2024-09-30
AFCONS,2025-06-16,2099-12-31
AFFLE,2022-10-09,2099-12-31
AGARWALEYE,2025-09-30,2099-12-31
AIAENG,2010-01-01,2099-12-31
AIIL,2025-06-16,2099-12-31
AJANTPHARM,2010-01-01,2099-12-31
AKUMS,2025-06-16,2026-05-02
AKZOINDIA,2010-01-01,2021-09-30
AKZOINDIA,2025-09-30,2099-12-31
ALBK,2010-01-01,2022-10-09
ALIVUS,2025-06-16,2025-09-30
ALKEM,2010-01-01,2099-12-31
ALKYLAMINE,2022-10-09,2026-05-02
ALLCARGO,2010-01-01,2024-09-30
ALOKINDS,2025-06-16,2026-05-02
AMARAJABAT,2010-01-01,2024-02-07
AMBER,2022-10-09,2099-12-31
AMBUJACEM,2010-01-01,2099-12-31
ANANDRATHI,2024-03-28,2099-12-31
ANANTRAJ,2024-09-30,2099-12-31
ANDHRABANK,2010-01-01,2022-10-09
ANGELBRKG,2021-03-31,2099-12-31
ANGELONE,2022-10-09,2099-12-31
ANTHEM,2026-05-02,2099-12-31
ANURAS,2021-09-30,2025-06-16
ANURAS,2026-05-02,2099-12-31
APARINDS,2023-03-31,2099-12-31
APLAPOLLO,2010-01-01,2099-12-31
APLLTD,2010-01-01,2026-05-02
APOLLOHOSP,2010-01-01,2099-12-31
APOLLOTYRE,2010-01-01,2099-12-31
APTUS,2022-03-31,2099-12-31
ARE&M,2024-02-07,2099-12-31
ASAHIINDIA,2021-03-31,2099-12-31
ASHOKA,2010-01-01,2022-03-31
ASHOKLEY,2010-01-01,2099-12-31
ASIANPAINT,2010-01-01,2099-12-31
ASTERDM,2010-01-01,2099-12-31
ASTRAL,2010-01-01,2099-12-31
ASTRAZEN,2022-10-09,2023-03-31
ASTRAZEN,2024-03-28,2099-12-31
ATGL,2022-10-09,2099-12-31
ATHERENERG,2025-09-30,2099-12-31
ATUL,2010-01-01,2099-12-31
AUBANK,2010-01-01,2099-12-31
AUROPHARMA,2010-01-01,2099-12-31
AVANTIFEED,2010-01-01,2025-06-16
AWL,2022-10-09,2099-12-31
AXISBANK,2010-01-01,2099-12-31
BAJAJ-AUTO,2010-01-01,2099-12-31
BAJAJCON,2019-02-01,2022-03-31
BAJAJCORP,2010-01-01,2019-02-01
BAJAJELEC,2010-01-01,2024-02-07
BAJAJFINSV,2010-01-01,2099-12-31
BAJAJHFL,2025-06-16,2099-12-31
BAJAJHLDNG,2010-01-01,2099-12-31
BAJFINANCE,2010-01-01,2099-12-31
BALAMINES,2021-03-31,2099-12-31
BALKRISIND,2010-01-01,2099-12-31
BALMLAWRIE,2010-01-01,2021-09-30
BALRAMCHIN,2010-01-01,2099-12-31
BANDHANBNK,2010-01-01,2099-12-31
BANKBARODA,2010-01-01,2099-12-31
BANKINDIA,2010-01-01,2099-12-31
BASF,2010-01-01,2024-02-07
BASF,2024-09-30,2099-12-31
BATAINDIA,2010-01-01,2099-12-31
BAYERCROP,2022-10-09,2099-12-31
BBTC,2010-01-01,2099-12-31
BCG,2022-03-31,2025-06-16
BDL,2010-01-01,2099-12-31
BEL,2010-01-01,2099-12-31
BELRISE,2026-05-02,2099-12-31
BEML,2010-01-01,2022-10-09
BEML,2024-02-07,2099-12-31
BERGEPAINT,2010-01-01,2099-12-31
BHARATFIN,2010-01-01,2019-02-01
BHARATFORG,2010-01-01,2099-12-31
BHARATRAS,2022-10-09,2023-03-31
BHARTIARTL,2010-01-01,2099-12-31
BHARTIHEXA,2024-09-30,2099-12-31
BHEL,2010-01-01,2099-12-31
BIKAJI,2023-03-31,2099-12-31
BIOCON,2010-01-01,2099-12-31
BIRLACORPN,2010-01-01,2025-06-16
BLISSGVS,2010-01-01,2021-09-30
BLS,2023-03-31,2099-12-31
BLUEDART,2010-01-01,2099-12-31
BLUEJET,2025-09-30,2099-12-31
BLUESTARCO,2010-01-01,2099-12-31
BOMDYEING,2019-02-01,2021-03-31
BORORENEW,2022-03-31,2025-06-16
BOSCHLTD,2010-01-01,2099-12-31
BPCL,2010-01-01,2099-12-31
BRIGADE,2010-01-01,2099-12-31
BRITANNIA,2010-01-01,2099-12-31
BSE,2010-01-01,2099-12-31
BSOFT,2022-10-09,2099-12-31
CADILAHC,2010-01-01,2022-10-09
CAMPUS,2022-10-09,2026-05-02
CAMS,2021-03-31,2099-12-31
CANBK,2010-01-01,2099-12-31
CANFINHOME,2010-01-01,2099-12-31
CANHLIFE,2026-05-02,2099-12-31
CAPF,2010-01-01,2019-02-01
CAPLIPOINT,2010-01-01,2023-03-31
CAPLIPOINT,2024-03-28,2099-12-31
CARBORUNIV,2010-01-01,2099-12-31
CARERATING,2010-01-01,2021-03-31
CARTRADE,2026-05-02,2099-12-31
CASTROLIND,2010-01-01,2099-12-31
CCL,2010-01-01,2099-12-31
CDSL,2010-01-01,2099-12-31
CEATLTD,2010-01-01,2099-12-31
CELLO,2024-03-28,2099-12-31
CEMPRO,2026-05-02,2099-12-31
CENTRALBK,2010-01-01,2099-12-31
CENTURYPLY,2010-01-01,2026-05-02
CENTURYTEX,2010-01-01,2019-02-01
CENTURYTEX,2022-10-09,2025-06-16
CERA,2010-01-01,2026-05-02
CESC,2022-10-09,2099-12-31
CGCL,2022-10-09,2099-12-31
CGPOWER,2010-01-01,2099-12-31
CHALET,2022-10-09,2099-12-31
CHAMBLFERT,2010-01-01,2099-12-31
CHEMPLASTS,2022-03-31,2099-12-31
CHENNPETRO,2010-01-01,2021-03-31
CHENNPETRO,2024-03-28,2099-12-31
CHOICEIN,2025-09-30,2099-12-31
CHOLAFIN,2010-01-01,2099-12-31
CHOLAHLDNG,2022-10-09,2099-12-31
CIEINDIA,2024-02-07,2025-06-16
CIEINDIA,2026-05-28,2099-12-31
CIPLA,2010-01-01,2099-12-31
CLEAN,2022-03-31,2099-12-31
COALINDIA,2010-01-01,2099-12-31
COCHINSHIP,2010-01-01,2099-12-31
COFFEEDAY,2010-01-01,2022-10-09
COFORGE,2022-10-09,2099-12-31
COHANCE,2025-06-16,2099-12-31
COLPAL,2010-01-01,2099-12-31
CONCOR,2010-01-01,2099-12-31
CONCORDBIO,2024-02-07,2099-12-31
COROMANDEL,2010-01-01,2099-12-31
CORPBANK,2019-02-01,2022-10-09
CPPLUS,2026-05-02,2099-12-31
CRAFTSMAN,2023-03-31,2099-12-31
CREDITACC,2019-02-01,2099-12-31
CRISIL,2010-01-01,2099-12-31
CROMPTON,2010-01-01,2099-12-31
CSBBANK,2022-10-09,2024-09-30
CUB,2010-01-01,2099-12-31
CUMMINSIND,2010-01-01,2099-12-31
CYIENT,2010-01-01,2099-12-31
DABUR,2010-01-01,2099-12-31
DALBHARAT,2022-10-09,2099-12-31
DATAPATTNS,2023-03-31,2099-12-31
DBCORP,2010-01-01,2021-03-31
DBL,2010-01-01,2023-03-31
DBREALTY,2024-09-30,2099-12-31
DCAL,2010-01-01,2021-09-30
DCBBANK,2010-01-01,2022-03-31
DCMSHRIRAM,2010-01-01,2024-09-30
DEEPAKFERT,2010-01-01,2099-12-31
DEEPAKNTR,2022-10-09,2099-12-31
DELHIVERY,2022-10-09,2099-12-31
DELTACORP,2010-01-01,2024-03-28
DEN,2010-01-01,2022-10-09
DENABANK,2010-01-01,2019-02-01
DEVYANI,2022-03-31,2099-12-31
DHANI,2022-10-09,2023-03-31
DHFL,2010-01-01,2022-10-09
DISHTV,2010-01-01,2021-09-30
DIVISLAB,2010-01-01,2099-12-31
DIXON,2010-01-01,2099-12-31
DLF,2010-01-01,2099-12-31
DMART,2010-01-01,2099-12-31
DOMS,2024-03-28,2099-12-31
DREDGECORP,2010-01-01,2022-10-09
DRREDDY,2010-01-01,2099-12-31
DUMMYHDLVR,2026-01-07,2026-05-02
DUMMYSIEMS,2025-06-16,2025-08-15
DUMMYVEDL1,2026-05-02,2099-12-31
DUMMYVEDL2,2026-05-02,2099-12-31
DUMMYVEDL3,2026-05-02,2099-12-31
DUMMYVEDL4,2026-05-02,2099-12-31
EASEMYTRIP,2022-03-31,2099-12-31
ECLERX,2010-01-01,2099-12-31
EDELWEISS,2010-01-01,2024-02-07
EICHERMOT,2010-01-01,2099-12-31
EIDPARRY,2010-01-01,2099-12-31
EIHOTEL,2010-01-01,2099-12-31
ELECON,2024-03-28,2099-12-31
ELGIEQUIP,2010-01-01,2099-12-31
EMAMILTD,2010-01-01,2099-12-31
EMCURE,2025-06-16,2099-12-31
EMMVEE,2026-05-02,2099-12-31
ENDURANCE,2010-01-01,2099-12-31
ENGINERSIN,2010-01-01,2099-12-31
ENRIN,2025-09-30,2099-12-31
EPIGRAL,2024-02-07,2024-03-28
EPL,2022-10-09,2024-09-30
EQUITAS,2010-01-01,2022-10-09
EQUITASBNK,2021-09-30,2099-12-31
ERIS,2010-01-01,2022-10-09
ERIS,2024-02-07,2099-12-31
EROSMEDIA,2010-01-01,2022-10-09
ESCORTS,2010-01-01,2099-12-31
ETERNAL,2025-06-16,2099-12-31
EVEREADY,2010-01-01,2022-10-09
EXCELCROP,2010-01-01,2022-10-09
EXIDEIND,2010-01-01,2099-12-31
FACT,2021-09-30,2099-12-31
FCONSUMER,2010-01-01,2021-09-30
FDC,2010-01-01,2024-09-30
FEDERALBNK,2010-01-01,2099-12-31
FINCABLES,2010-01-01,2099-12-31
FINEORG,2022-10-09,2025-06-16
FINPIPE,2010-01-01,2026-05-02
FIRSTCRY,2025-06-16,2099-12-31
FIVESTAR,2023-03-31,2099-12-31
FLFL,2010-01-01,2022-10-09
FLUOROCHEM,2022-10-09,2099-12-31
FORCEMOT,2025-09-30,2099-12-31
FORTIS,2019-02-01,2099-12-31
FRETAIL,2010-01-01,2022-03-31
FSL,2010-01-01,2099-12-31
GABRIEL,2026-05-02,2099-12-31
GAEL,2022-10-09,2025-06-16
GAIL,2010-01-01,2099-12-31
GALAXYSURF,2010-01-01,2024-03-28
GALLANTT,2026-05-02,2099-12-31
GARFIBRES,2022-10-09,2024-02-07
GAYAPROJ,2010-01-01,2022-10-09
GDL,2010-01-01,2022-10-09
GEPIL,2010-01-01,2021-09-30
GESHIP,2010-01-01,2099-12-31
GET&D,2010-01-01,2022-10-09
GET&D,2024-09-30,2099-12-31
GHCL,2010-01-01,2022-10-09
GICRE,2010-01-01,2099-12-31
GILLETTE,2010-01-01,2022-03-31
GILLETTE,2024-02-07,2099-12-31
GLAND,2022-10-09,2099-12-31
GLAXO,2010-01-01,2099-12-31
GLENMARK,2010-01-01,2099-12-31
GLS,2022-03-31,2025-06-16
GMDCLTD,2010-01-01,2021-03-31
GMDCLTD,2024-03-28,2099-12-31
GMMPFAUDLR,2022-10-09,2024-09-30
GMRAIRPORT,2025-06-16,2099-12-31
GMRINFRA,2010-01-01,2025-06-16
GNFC,2010-01-01,2025-09-30
GOCOLORS,2022-03-31,2025-06-16
GODFRYPHLP,2010-01-01,2099-12-31
GODIGIT,2024-09-30,2099-12-31
GODREJAGRO,2010-01-01,2024-02-07
GODREJAGRO,2024-09-30,2099-12-31
GODREJCP,2010-01-01,2099-12-31
GODREJIND,2010-01-01,2099-12-31
GODREJPROP,2010-01-01,2099-12-31
GPIL,2024-02-07,2099-12-31
GPPL,2010-01-01,2025-09-30
GRANULES,2010-01-01,2099-12-31
GRAPHITE,2010-01-01,2099-12-31
GRASIM,2010-01-01,2099-12-31
GRAVITA,2025-06-16,2099-12-31
GREAVESCOT,2010-01-01,2022-03-31
GREENPANEL,2022-10-09,2024-02-07
GREENPLY,2010-01-01,2022-10-09
GRINDWELL,2010-01-01,2025-06-16
GRINFRA,2022-03-31,2025-06-16
GROWW,2026-05-02,2099-12-31
GRSE,2024-03-28,2099-12-31
GRUH,2010-01-01,2022-10-09
GSFC,2010-01-01,2025-06-16
GSKCONS,2010-01-01,2022-10-09
GSPL,2010-01-01,2026-05-28
GUJALKALI,2010-01-01,2024-03-28
GUJFLUORO,2010-01-01,2022-10-09
GUJGASLTD,2010-01-01,2026-05-02
GULFOILLUB,2010-01-01,2021-09-30
GVKPIL,2010-01-01,2022-10-09
GVT&D,2025-06-16,2099-12-31
HAL,2010-01-01,2099-12-31
HAPPSTMNDS,2021-03-31,2099-12-31
HAPPYFORGE,2024-03-28,2024-09-30
HATHWAY,2010-01-01,2021-03-31
HATHWAY,2021-09-30,2099-12-31
HATSUN,2010-01-01,2023-03-31
HAVELLS,2010-01-01,2099-12-31
HBLENGINE,2025-06-16,2099-12-31
HBLPOWER,2024-03-28,2099-12-31
HCC,2010-01-01,2022-10-09
HCL-INSYS,2010-01-01,2022-10-09
HCLTECH,2010-01-01,2099-12-31
HDBFS,2026-05-02,2099-12-31
HDFC,2010-01-01,2024-02-07
HDFCAMC,2022-10-09,2099-12-31
HDFCBANK,2010-01-01,2099-12-31
HDFCLIFE,2010-01-01,2099-12-31
HEG,2010-01-01,2099-12-31
HEIDELBERG,2010-01-01,2022-03-31
HEMIPROP,2021-03-31,2099-12-31
HERITGFOOD,2010-01-01,2021-03-31
HEROMOTOCO,2010-01-01,2099-12-31
HEXAWARE,2010-01-01,2022-10-09
HEXT,2025-09-30,2099-12-31
HFCL,2010-01-01,2099-12-31
HGS,2021-09-30,2099-12-31
HIKAL,2021-09-30,2099-12-31
HIMATSEIDE,2010-01-01,2022-10-09
HINDALCO,2010-01-01,2099-12-31
HINDCOPPER,2010-01-01,2099-12-31
HINDPETRO,2010-01-01,2099-12-31
HINDUNILVR,2010-01-01,2099-12-31
HINDZINC,2010-01-01,2099-12-31
HLEGLAS,2022-03-31,2025-06-16
HOMEFIRST,2021-09-30,2099-12-31
HONASA,2024-03-28,2099-12-31
HONAUT,2010-01-01,2099-12-31
HSCL,2010-01-01,2021-09-30
HSCL,2024-03-28,2099-12-31
HSIL,2010-01-01,2019-02-01
HUDCO,2010-01-01,2099-12-31
HYUNDAI,2025-06-16,2099-12-31
IBREALEST,2010-01-01,2024-02-07
IBULHSGFIN,2010-01-01,2025-06-16
IBVENTURES,2019-02-01,2022-10-09
ICICIAMC,2026-05-02,2099-12-31
ICICIBANK,2010-01-01,2099-12-31
ICICIGI,2010-01-01,2099-12-31
ICICIPRULI,2010-01-01,2099-12-31
ICIL,2010-01-01,2022-10-09
IDBI,2010-01-01,2099-12-31
IDEA,2010-01-01,2024-09-30
IDFC,2010-01-01,2025-06-16
IDFCBANK,2010-01-01,2019-02-01
IDFCFIRSTB,2019-02-01,2099-12-31
IEX,2010-01-01,2099-12-31
IFBIND,2010-01-01,2024-02-07
IFCI,2010-01-01,2022-10-09
IFCI,2024-09-30,2099-12-31
IGIL,2025-06-16,2099-12-31
IGL,2010-01-01,2099-12-31
IIFL,2010-01-01,2019-02-01
IIFL,2022-10-09,2099-12-31
IIFLWAM,2022-10-09,2024-02-07
IKS,2025-06-16,2099-12-31
IL&FSTRANS,2010-01-01,2022-10-09
INDGN,2024-09-30,2099-12-31
INDHOTEL,2010-01-01,2099-12-31
INDIACEM,2010-01-01,2099-12-31
INDIAMART,2022-10-09,2099-12-31
INDIANB,2010-01-01,2099-12-31
INDIGO,2010-01-01,2099-12-31
INDIGOPNTS,2021-09-30,2025-06-16
INDOCO,2010-01-01,2023-03-31
INDUSINDBK,2010-01-01,2099-12-31
INDUSTOWER,2022-10-09,2099-12-31
INFIBEAM,2010-01-01,2024-03-28
INFRATEL,2010-01-01,2022-10-09
INFY,2010-01-01,2099-12-31
INGERRAND,2023-03-31,2025-06-16
INOXINDIA,2024-09-30,2099-12-31
INOXLEISUR,2010-01-01,2024-02-07
INOXWIND,2010-01-01,2022-10-09
INOXWIND,2024-03-28,2099-12-31
INTELLECT,2010-01-01,2099-12-31
IOB,2010-01-01,2099-12-31
IOC,2010-01-01,2099-12-31
IPCALAB,2010-01-01,2099-12-31
IRB,2010-01-01,2099-12-31
IRCON,2024-02-07,2099-12-31
IRCTC,2022-10-09,2099-12-31
IREDA,2024-03-28,2099-12-31
IRFC,2021-09-30,2099-12-31
ISEC,2010-01-01,2025-06-16
ITC,2010-01-01,2099-12-31
ITCHOTELS,2025-09-30,2099-12-31
ITDC,2010-01-01,2022-10-09
ITDCEM,2010-01-01,2022-10-09
ITI,2010-01-01,2099-12-31
J&KBANK,2010-01-01,2021-03-31
J&KBANK,2024-03-28,2099-12-31
JAGRAN,2010-01-01,2021-03-31
JAIBALAJI,2024-03-28,2024-09-30
JAICORPLTD,2010-01-01,2021-03-31
JAINREC,2026-05-02,2099-12-31
JAMNAAUTO,2022-10-09,2024-03-28
JBCHEPHARM,2010-01-01,2099-12-31
JBMA,2022-10-09,2099-12-31
JCHAC,2010-01-01,2022-03-31
JETAIRWAYS,2010-01-01,2022-10-09
JINDALSAW,2010-01-01,2022-03-31
JINDALSAW,2024-02-07,2099-12-31
JINDALSTEL,2010-01-01,2099-12-31
JINDWORLD,2023-03-31,2099-12-31
JIOFIN,2024-03-28,2099-12-31
JISLJALEQS,2010-01-01,2022-10-09
JKCEMENT,2010-01-01,2099-12-31
JKIL,2010-01-01,2022-10-09
JKLAKSHMI,2010-01-01,2025-06-16
JKPAPER,2022-10-09,2024-09-30
JKTYRE,2010-01-01,2022-03-31
